BCP #,Name,Border,Latitude,Longitude,geometry,ntl_mean,ntl_sum,date
1,Salvador Mazza - Yacuiba,Argentina - Bolivia,-22.053028,-63.683833,"POLYGON ((-63.694345403558486 -22.069794248841248, -63.696058391822476 -22.06875254475904, -63.697653461632186 -22.067559247459346, -63.69911522225568 -22.06622588131379, -63.70042957490378 -22.064765324189093, -63.70158384932527 -22.06319168200901, -63.70256692630061 -22.061520151368953, -63.70336934483717 -22.059766871585392, -63.70398339302868 -22.057948767666712, -63.704403181714476 -22.05608338577922, -63.7046247002524 -22.05418872285215, -63.704645853905134 -22.05228305201693, -63.704466482527465 -22.050384745609602, -63.70408836043185 -22.048512097480078, -63.703515177498396 -22.046683146348247, -63.70275250178044 -22.044915501925754, -63.701807724037096 -22.043226175484143, -63.70068998479834 -22.041631416494333, -63.699410084731966 -22.040146556892868, -63.697980379237464 -22.038785864445355, -63.69641465833494 -22.037562406580008, -63.69472801304889 -22.036487925955072, -63.69293668960433 -22.035572728903915, -63.691057932857426 -22.034825587773366, -63.68910982047223 -22.034253658034697, -63.68711108943101 -22.033862410904238, -63.68508095652478 -22.03365558206404, -63.68303893451763 -22.03363513692212, -63.68100464570721 -22.033801252699668, -63.67899763462058 -22.034152317478863, -63.67703718158516 -22.0346849461916, -63.6751421189015 -22.035394013377214, -63.67333065131701 -22.036272702388057, -63.67162018245962 -22.037312570574713, -63.67002714883517 -22.038503629840992, -63.66856686292614 -22.03983444182166, -63.66725336684927 -22.04129222680522, -63.6660992979384 -22.0428629853997, -63.665115767515395 -22.0445316318243, -63.664312253998716 -22.046282137601334, -63.66369651137414 -22.048097684325917, -63.66327449391856 -22.049960824103234, -63.663050297924464 -22.05185364616706, -63.663026121022284 -22.05375794812928, -63.66320223953901 -22.05565541025881, -63.663577004167706 -22.057527771150845, -63.66414685405374 -22.059357003123893, -63.66490634923092 -22.06112548567369, -63.6658482211664 -22.062816175319977, -63.66696344099875 -22.064412770204676, -63.66824130487952 -22.06589986783887, -63.66966953565875 -22.06726311445066, -63.67123439998885 -22.068489344456736, -63.67292083976297 -22.069566708667065, -63.674712616653885 -22.070484789933758, -63.67659246837984 -22.071234705071166, -63.67854227519736 -22.07180919200449, -63.6805432350082 -22.07220268124577, -63.682576045370936 -22.072411350949896, -63.68462109062831 -22.07243316496545, -63.68665863230085 -22.072267893466126, -63.68866900085575 -22.071917115924602, -63.69063278693987 -22.071384206370585, -63.692531030165426 -22.070674301057316, -63.694345403558486 -22.069794248841248))",22.1616861837011,1573.479719042778,2026-02-01
2,La Quiaca - Villazón,Argentina - Bolivia,-22.096556,-65.59625,"POLYGON ((-65.6083310801257 -22.113200509506978, -65.61002422714515 -22.11201635753583, -65.61158452094737 -22.110683163443305, -65.61299690805475 -22.109213801725723, -65.61424776814081 -22.107622462413193, -65.61532504590303 -22.10592451290061, -65.61621836750048 -22.104136348337825, -65.61691914042166 -22.10227523208253, -65.61742063582297 -22.10035912781555, -65.61771805256036 -22.098406524998328, -65.61780856232755 -22.096436259413036, -65.61769133550885 -22.094467330566843, -65.61736754755049 -22.09251871776532, -65.6168403658523 -22.090609196662395, -65.61611491737409 -22.088757158079318, -65.61519823734207 -22.086980430851135, -65.61409919962229 -22.085296110408336, -65.61282842950448 -22.083720394733106, -65.61139819980285 -22.082268429247332, -65.60982231133495 -22.080954162091917, -65.60811595898053 -22.079790211147365, -65.6062955846495 -22.07878774402432, -65.60437871860182 -22.077956372121974, -65.60238381065975 -22.077304059712866, -65.60033005293674 -22.07683704886623, -65.59823719577403 -22.07655980087096, -65.59612535862799 -22.076474954663052, -65.59401483768754 -22.07658330260486, -65.59192591202161 -22.07688378380357, -65.58987865006137 -22.077373494997023, -65.58789271821315 -22.078047718876334, -65.58598719337287 -22.07889996955882, -65.58418038107412 -22.079922054771686, -65.58248964095013 -22.081104154158325, -65.58093122112285 -22.08243491297562, -65.57952010305412 -22.083901550313538, -65.57826985830206 -22.08548998083838, -65.5771925185223 -22.087184948938365, -65.57629845993915 -22.08897017403763, -65.57559630338618 -22.09082850574041, -65.57509283087917 -22.092742087374685, -65.5747929195413 -22.094692526422296, -65.57469949354487 -22.09666107025352, -65.57481349457473 -22.09862878552716, -65.57513387114973 -22.10057673957455, -65.57565758696757 -22.10248618205728, -65.57637964826016 -22.10433872517543, -65.57729314996892 -22.106116520704976, -65.57838934036887 -22.10780243216122, -65.57965770359118 -22.109380200420247, -65.58108605931729 -22.11083460118059, -65.58266067874548 -22.112151592715122, -65.58436641576462 -22.113318452447015, -65.58618685211178 -22.114323900982605, -65.58810445514386 -22.115158212348653, -65.59010074671681 -22.115813309310706, -65.59215648154503 -22.11628284279066, -65.59425183330828 -22.116562254556232, -65.59636658668411 -22.116648822518886, -65.59848033341444 -22.116541688150175, -65.60057267046504 -22.116241865705913, -65.60262339830705 -22.11575223313274, -65.60461271734212 -22.115077504718155, -65.60652142050664 -22.114224185733896, -65.6083310801257 -22.113200509506978))",32.350348521220056,2458.6264876127243,2026-02-01
3,Aguas Blancas - Bermejo,Argentina - Bolivia,-22.726306,-64.369528,"POLYGON ((-64.380663793611 -22.743489373893077, -64.38242653013572 -22.742393653584607, -64.38406485479986 -22.741142840245217, -64.38556295985913 -22.7397490135806, -64.38690639649256 -22.73822563517884, -64.3880822147691 -22.736587417395015, -64.38907908881895 -22.734850180070474, -64.38988742598659 -22.73303069652827, -64.39049945891182 -22.73114653039153, -64.39090931966322 -22.729215864859448, -64.39111309523678 -22.727257326145853, -64.39110886392355 -22.72528980283647, -64.39089671224798 -22.723332262952948, -64.3904787323733 -22.721403570524757, -64.38985900006749 -22.71952230346487, -64.38904353351438 -22.717706574519678, -64.38804023344089 -22.715973857023332, -64.3868588052109 -22.714340817126445, -64.38551066370535 -22.712823154095606, -64.38400882196831 -22.71143545019055, -64.38236776474564 -22.710191031523618, -64.38060330817767 -22.709101841191448, -64.37873244702827 -22.70817832584458, -64.37677319093822 -22.70742933672604, -64.3747443912833 -22.70686204606905, -64.37266556029219 -22.70648187959595, -64.37055668414108 -22.706292465708255, -64.36843803178559 -22.7062956018019, -64.36632996132121 -22.706491237983844, -64.36425272567732 -22.706877478307657, -64.36222627944828 -22.707450599487235, -64.36027008865072 -22.70820508689102, -64.35840294516473 -22.709133687465066, -64.35664278757291 -22.71022747908208, -64.35500653005342 -22.711475955668224, -64.35350990091132 -22.71286712731793, -64.35216729224906 -22.71438763447387, -64.35099162217925 -22.716022875121386, -64.34999421087629 -22.717757143828813, -64.34918467164208 -22.719573781355365, -64.34857081803166 -22.72145533344868, -64.34815858794435 -22.723383717365778, -64.34795198543651 -22.72534039457395, -64.34795304085445 -22.727306548024053, -64.34816178972163 -22.729263262337334, -64.34857627064274 -22.731191705210463, -64.34919254231254 -22.733073308320755, -64.35000471953741 -22.73488994600758, -64.35100502799737 -22.736624110014393, -64.35218387729462 -22.738259078602027, -64.3535299516551 -22.739779078385403, -64.35503031747398 -22.741169437304773, -64.35667054672422 -22.742416727217098, -64.35843485508397 -22.743508894685405, -64.3603062534851 -22.744435378649523, -64.36226671164059 -22.7451872137841, -64.36429733198005 -22.745757118485095, -64.3663785323069 -22.74613956657389, -64.36849023539276 -22.74633084196772, -64.37061206364443 -22.746329075733975, -64.3727235369185 -22.7461342651227, -64.37480427151743 -22.745748274354096, -64.37683417838392 -22.745174817123996, -64.37879365851083 -22.744419420978176, -64.380663793611 -22.743489373893077))",3.117254906495412,233.79411798715591,2026-02-01
4,Socompa,Argentina - Chile,-24.4515,-68.289861,"POLYGON ((-68.30440667093401 -24.469507204779017, -68.30626551320871 -24.468114853947636, -68.30796613001034 -24.466562335487797, -68.30949211597839 -24.46486464127047, -68.31082875787413 -24.463038165422137, -68.31196317693585 -24.461100544731533, -68.3128844531435 -24.459070486996204, -68.31358373018766 -24.45696758903077, -68.31405430013932 -24.454812146160368, -68.31429166702942 -24.452624955102078, -68.31429358876535 -24.450427112196863, -68.31406009703406 -24.448239808992163, -68.31359349506542 -24.446084127191682, -68.31289833335173 -24.443980834983996, -68.31198136363808 -24.441950186736168, -68.31085147171073 -24.4400117279925, -68.30951958971482 -24.438184107654028, -68.3079985889268 -24.43648489913145, -68.3063031540887 -24.43493043216479, -68.30444964058012 -24.433535636888514, -68.30245591585674 -24.432313901592806, -68.30034118672307 -24.431276945491113, -68.29812581412712 -24.430434707653998, -68.29583111726967 -24.429795253110036, -68.29347916890698 -24.42936469694797, -68.29109258379418 -24.429147147083363, -68.28869430226774 -24.42914466617725, -68.28630737099863 -24.429357253017, -68.28395472296272 -24.429782843490752, -68.28165895867441 -24.43041733110963, -68.27944213070958 -24.431254606854942, -68.27732553351001 -24.432286617955782, -68.27532950040968 -24.433503445032624, -68.27347320975781 -24.434893396879882, -68.27177450193012 -24.436443122003308, -68.27024970892644 -24.438137735878335, -68.26891349814058 -24.439960962754306, -68.26777873176711 -24.441895290698707, -68.26685634317312 -24.443922138452347, -68.26615523141655 -24.4460220325584, -68.26568217493342 -24.448174793128324, -68.26544176524877 -24.45035972652432, -68.26543636138811 -24.452555823166012, -68.26566606548053 -24.454741958613894, -68.2661287198529 -24.456897096040468, -68.26681992571673 -24.45900048817712, -68.26773308334792 -24.46103187681658, -68.2688594534563 -24.46297168796175, -68.27018823923822 -24.464801220739577, -68.271706688403 -24.466502828245446, -68.27340021426606 -24.468060088547794, -68.27525253480873 -24.469457964165855, -68.27724582842038 -24.47068294843371, -68.27936090486402 -24.47172319728173, -68.28157738984481 -24.472568645100928, -68.28387392141373 -24.473211103504926, -68.28622835630762 -24.47364434196825, -68.2886179842154 -24.473864149496006, -68.29101974786767 -24.473868376666328, -68.29341046677723 -24.47365695758392, -68.29576706241127 -24.473231911484284, -68.29806678255117 -24.472597323936338, -68.30028742259996 -24.471759307798983, -68.30240754161946 -24.470725944296, -68.30440667093401 -24.469507204779017))",0.0,0.0,2026-02-01
5,Jama,Argentina - Chile,-23.226583,-67.062861,"POLYGON ((-67.07625730920722 -23.243877723251185, -67.07802775316361 -23.24258041837041, -67.07965191209688 -23.241128896219895, -67.08111411739144 -23.239537173604017, -67.08240026967435 -23.237820621658148, -67.08349797527323 -23.235995816200862, -67.08439666585404 -23.234080376388032, -67.0850877000758 -23.232092793288974, -67.08556444628833 -23.230052250102023, -67.08582234549661 -23.227978435807177, -67.08585895402092 -23.225891354111777, -67.08567396548939 -23.22381112958448, -67.08526921201108 -23.22175781289162, -67.08464864458674 -23.21975118704788, -67.08381829302053 -23.217810576572166, -67.08278620579772 -23.2159546613989, -67.08156237058557 -23.214201297335986, -67.08015861619994 -23.21256734478462, -67.0785884970521 -23.211068507344244, -67.0768671612515 -23.209719181818983, -67.0750112036865 -23.20853232102259, -67.07303850553798 -23.20751931064687, -67.07096806179607 -23.20668986131789, -67.06881979845227 -23.206051916813774, -67.06661438112204 -23.20561157926125, -67.06437301692101 -23.205373051966678, -67.06211725146834 -23.20533860037025, -67.05986876292431 -23.20550853144508, -67.05764915498722 -23.205881191692555, -67.055479750775 -23.20645298371703, -67.05338138950276 -23.207218401195483, -67.05137422783586 -23.208170081892682, -67.04947754775421 -23.20929887821209, -67.04770957270134 -23.21059394461641, -67.04608729371864 -23.21204284110188, -67.04462630717627 -23.21363165176696, -67.04334066561131 -23.21534511738097, -67.04224274306961 -23.217166780731347, -67.04134311622228 -23.219079143411605, -67.0406504623906 -23.22106383260492, -67.04017147546551 -23.22310177632408, -67.03991080055134 -23.22517338548515, -67.03987098799664 -23.227258741122785, -67.04005246730233 -23.229337784999732, -67.04045354121683 -23.231390511821353, -67.04107040014293 -23.233397161241367, -67.04189715679182 -23.23533840783486, -67.04292590082886 -23.23719554722177, -67.04414677306347 -23.238950676548384, -67.04554805854534 -23.24058686757542, -67.04711629774177 -23.242088330680158, -67.0488364147889 -23.24344056815568, -67.05069186163439 -23.244630515283664, -67.05266477672414 -23.24564666776632, -67.0547361567312 -23.246479194228144, -67.05688603968396 -23.24712003263857, -67.0590936977264 -23.247562969659565, -67.06133783763353 -23.24780370208869, -67.0635968071174 -23.24783987974357, -67.06584880488859 -23.247671129319617, -67.06807209239103 -23.24729905894365, -67.07024520510308 -23.246727243342885, -67.07234716129402 -23.24596118974635, -67.07435766614763 -23.24500828483497, -67.07625730920722 -23.243877723251185))",0.0,0.0,2026-02-01
6,La Paz - Pozo Hondo,Argentina - Paraguay,-22.378222,-62.518583,"POLYGON ((-62.52816369873998 -22.395299840908503, -62.529918188254435 -22.394343845908615, -62.53156334225225 -22.39323242462729, -62.533083285596156 -22.391976311332332, -62.53446335680132 -22.390587638634745, -62.53569025014066 -22.38907981927664, -62.53675214435771 -22.38746741545587, -62.53763881672568 -22.38576599700376, -62.53834174134607 -22.38399198984267, -62.53885417074639 -22.38216251624426, -62.539171200010585 -22.38029522848665, -62.53928981285821 -22.378408137567973, -62.539208909272546 -22.376519438675384, -62.538929314467104 -22.374647335131506, -62.538453769166345 -22.372809862545623, -62.537786901362836 -22.37102471488337, -62.536935179893696 -22.369309074139274, -62.53590685035471 -22.367679445249383, -62.53471185403793 -22.366151497818656, -62.533361730736836 -22.36473991616144, -62.53186950641063 -22.36345825906252, -62.53024956683564 -22.362318830563897, -62.528517518495086 -22.361332562969338, -62.52669003806809 -22.36050891313562, -62.524784711975904 -22.359855772989093, -62.52281986752408 -22.359379395067858, -62.520814397247584 -22.35908433374785, -62.51878757811739 -22.35897340266328, -62.51675888730612 -22.35904764868254, -62.514747816232 -22.359306342649262, -62.51277368461061 -22.35974698694608, -62.51085545623719 -22.360365339787464, -62.509011558203134 -22.361155455998908, -62.50725970521722 -22.36210974389201, -62.5056167306547 -22.36321903770277, -62.504098425898384 -22.364472684920884, -62.50271938946315 -22.36585864770535, -62.501492887310484 -22.36736361745453, -62.5004307256639 -22.368973141479454, -62.49954313752737 -22.37067176061774, -62.49883868399196 -22.372443156523076, -62.498324171285574 -22.37427030727285, -62.498004584384546 -22.376135649854692, -62.49788303785788 -22.378021248022446, -62.49796074446187 -22.379908963954502, -62.49823700184117 -22.381780632102807, -62.49870919752666 -22.38361823359008, -62.49937283224953 -22.385404069497103, -62.50022156141805 -22.38712093138045, -62.50124725442887 -22.388752267376468, -62.50244007131013 -22.390282342277075, -62.50378855602294 -22.39169639001048, -62.50527974557815 -22.39298075702203, -62.506899293965105 -22.394123035129308, -62.50863160973385 -22.395112182519714, -62.51046000592819 -22.395938631667537, -62.51236686093456 -22.396594383070326, -62.51433378869208 -22.397073083840848, -62.516341816605625 -22.39737009033733, -62.518371569415535 -22.397482514173483, -62.52040345720959 -22.397409251115263, -62.52241786571119 -22.39715099254437, -62.52439534694922 -22.39671021934614, -62.52631680840449 -22.396091178259724, -62.52816369873998 -22.395299840908503))",1.8996355320090679,127.27558064460754,2026-02-01
7,Portezuelo del Cajón,Bolivia - Chile,-22.880944,-67.798667,"POLYGON ((-67.81262451185268 -22.897930816260722, -67.81435489243513 -22.896580854040323, -67.8159339648079 -22.89508015269504, -67.8173464962242 -22.893443203444818, -67.81857886746073 -22.891685813527733, -67.81961920458342 -22.889824952331548, -67.82045749351083 -22.887878586246888, -67.82108567626334 -22.88586550389933, -67.82149772797875 -22.8838051335104, -67.82168971397577 -22.881717354211588, -67.82165982635291 -22.879622303189365, -67.82140839981975 -22.877540180572716, -67.82093790666994 -22.875491053987506, -67.82025293101319 -22.873494664694594, -67.81936012259007 -22.87157023720166, -67.81826813069294 -22.869736294192553, -67.8169875189072 -22.868010478553398, -67.81553066157001 -22.866409384193474, -67.81391162301195 -22.86494839726223, -67.81214602080662 -22.863641549251508, -67.81025087439359 -22.86250138334896, -67.80824444057083 -22.86153883527229, -67.806146037463 -22.86076312966948, -67.80397585866882 -22.860181693016678, -67.80175477937016 -22.85980008378597, -67.79950415624704 -22.85962194049097, -67.7972456230893 -22.85964894804994, -67.79500088402325 -22.859880822736763, -67.7927915062849 -22.86031531581965, -67.7906387144663 -22.86094823581763, -67.78856318814196 -22.861773489137914, -67.78658486474626 -22.862783138692105, -67.78472274952286 -22.863967479929553, -67.78299473430087 -22.865315133571137, -67.7814174267744 -22.866813154178207, -67.78000599186815 -22.86844715355013, -67.77877400666739 -22.870201437811, -67.777733330271 -22.872059156921715, -67.77689398979865 -22.874002465240228, -67.77626408364036 -22.876012691649166, -67.77584970288784 -22.878070517679078, -67.77565487172596 -22.88015616197677, -67.77568150739434 -22.882249569402607, -67.77592940015411 -22.88433060299003, -67.7763962135125 -22.886379236963943, -67.77707750477198 -22.88837574899428, -67.77796676578127 -22.89030090985658, -67.77905548357302 -22.892136168684072, -67.7803332203838 -22.89386383202452, -67.7817877123602 -22.89546723496251, -67.78340498607106 -22.896930902631308, -67.78516949176496 -22.89824070051987, -67.78706425214072 -22.899383972078393, -67.78907102523563 -22.900349662240615, -67.7911704798871 -22.901128425609915, -67.79334238208625 -22.901712718201907, -67.7955657904218 -22.90209687179231, -67.79781925871008 -22.90227715008917, -67.80008104382321 -22.902251786127263, -67.80232931666399 -22.90202100047013, -67.80454237419532 -22.901586999998752, -67.8066988504127 -22.900953957263305, -67.80877792415217 -22.900127970573305, -67.81075952165409 -22.899117005200146, -67.81262451185268 -22.897930816260722))",0.04498255326424116,3.643586814403534,2026-02-01
8,Avaroa - Ollagüe,Bolivia - Chile,-21.212861,-68.229722,"POLYGON ((-68.24384339885142 -21.228655095417935, -68.24542692372562 -21.227280595109974, -68.24685898363444 -21.225767092982977, -68.24812576507915 -21.224129203109314, -68.24921505551355 -21.222382740865825, -68.25011636144657 -21.220544569022472, -68.25082100961532 -21.2186324336754, -68.25132223024949 -21.216664791669274, -68.25161522163606 -21.214660631235105, -68.25169719538673 -21.212639287632964, -68.25156740200995 -21.21062025563249, -68.25122713659074 -21.208623000687336, -68.25067972458292 -21.206666770663634, -68.24993048791758 -21.204770409966468, -68.24898669182579 -21.202952177873883, -68.2478574729618 -21.20122957283472, -68.24655374959215 -21.19961916441679, -68.24508811478587 -21.198136434505543, -68.24347471369732 -21.1967956292529, -68.24172910617945 -21.195609623161435, -68.23986811609431 -21.194589796563694, -68.23790966880456 -21.193745927620057, -68.23587261842903 -21.193086099813993, -68.23377656653035 -21.192616625771436, -68.23164167397059 -21.19234198807451, -68.2294884677222 -21.19226479757729, -68.22733764445796 -21.192385769568634, -68.2252098727618 -21.192703717961408, -68.22312559580726 -21.193215567522792, -68.22110483633732 -21.193916383997074, -68.21916700575244 -21.19479942181142, -68.21733071907208 -21.195856188898038, -68.21561361747897 -21.19707652801417, -68.21403220008504 -21.198448713794132, -68.2126016664761 -21.199959564628454, -68.21133577149608 -21.201594568332503, -68.21024669362495 -21.203338020443322, -68.20934491818511 -21.205173173868687, -68.20863913648246 -21.207082398508557, -68.20813616184839 -21.20904734937509, -68.20784086340124 -21.21104914165623, -68.2077561181883 -21.213068531098664, -68.20788278220688 -21.215086098029992, -68.20821968063142 -21.21708243329827, -68.20876361739967 -21.21903832438007, -68.20950940413202 -21.220934939895596, -68.21044990817632 -21.222754010774306, -68.21157611938982 -21.224478006333285, -68.2128772350882 -21.226090303567876, -68.21434076241383 -21.22757534800647, -68.21595263720161 -21.228918804551224, -68.21769735825362 -21.23010769681191, -68.21955813577415 -21.231130533542153, -68.22151705256944 -21.231977420903842, -68.22355523647786 -21.232640159417453, -68.22565304237581 -21.233112324600114, -68.22779024199605 -21.233389330450702, -68.22994621970706 -21.23346847510829, -68.23210017233035 -21.23334896818668, -68.23423131102241 -21.233031939471168, -68.23631906321782 -21.232520428851863, -68.23834327262203 -21.231819357559125, -68.24028439525543 -21.23093548095834, -68.24212368958693 -21.229877323351364, -68.24384339885142 -21.228655095417935))",0.14122509801542604,10.874332547187805,2026-02-01
9,Hito Villazón,Bolivia - Paraguay,-20.563222,-62.266361,"POLYGON ((-62.275595885920154 -20.579036593695992, -62.27719793697102 -20.57810753614861, -62.27869546306412 -20.577034972683954, -62.28007401409443 -20.575829261912908, -62.281320292963485 -20.57450204917297, -62.282422284441104 -20.573066153080955, -62.28336937137306 -20.57153544066528, -62.284152437096985 -20.569924692335146, -62.28476395307355 -20.568249458044104, -62.28519805089586 -20.566525906090774, -62.28545057800233 -20.56477066606849, -62.28551913658837 -20.563000667527852, -62.28540310538282 -20.56123297595152, -62.285103644131105 -20.55948462765884, -62.284623680799236 -20.557772465258473, -62.28396788168469 -20.556112975252336, -62.28314260478691 -20.554522129361807, -62.2821558369519 -20.553015231100318, -62.28101711545792 -20.55160676905503, -62.2797374348555 -20.550310278264565, -62.27832914000866 -20.549138210993092, -62.27680580640888 -20.548101818101713, -62.2751821089447 -20.54721104211002, -62.27347368040941 -20.546474422923385, -62.27169696111577 -20.545899017077055, -62.269869041059536 -20.545490331217664, -62.26800749613237 -20.545252270407808, -62.26613021993143 -20.54518710169994, -62.264255252743475 -20.545295433285578, -62.26240060930066 -20.54557620938268, -62.260584106909434 -20.54602672088223, -62.25882319554559 -20.546642631632892, -62.25713479148724 -20.547418020103642, -62.25553511602353 -20.548345436026334, -62.254039540730034 -20.549415971487882, -62.252662440743585 -20.550619345812468, -62.251417057399905 -20.55194400345097, -62.25031537151471 -20.553377223977698, -62.249367988498534 -20.55490524318473, -62.24858403639212 -20.556513384161356, -62.24797107779805 -20.558186197153155, -62.24753503656231 -20.55990760691064, -62.24728013993068 -20.56166106616384, -62.24720887676734 -20.56342971379608, -62.2473219722788 -20.565196536239306, -62.24761837953664 -20.566944530574453, -62.24809528793805 -20.568656867795227, -62.24874814858481 -20.570317054681468, -62.24957071640101 -20.57190909273111, -62.25055510864914 -20.573417632616703, -62.25169187934339 -20.57482812266448, -62.25297010890136 -20.57612694990082, -62.254377508221914 -20.57730157227328, -62.25590053622817 -20.578340640729714, -62.25752452977545 -20.579234109930038, -62.25923384469225 -20.579973336470417, -62.26101200660267 -20.58055116361644, -62.26284187007207 -20.580961991672236, -62.26470578452452 -20.58120183325181, -62.266585765303326 -20.58126835286867, -62.26846366818629 -20.581160890416577, -62.27032136562409 -20.58088046827726, -62.272140922946875 -20.580429781957303, -62.273904772779545 -20.579813174326297, -62.275595885920154 -20.579036593695992))",0.0,0.0,2026-02-01
10,Infante Rivarola - Cañada Oruro,Bolivia - Paraguay,-21.672722,-62.45775,"POLYGON ((-62.467225137505224 -21.68930839494821, -62.468919518562245 -21.688360028830484, -62.470506164060296 -21.687260901428992, -62.47196976367149 -21.68602162811238, -62.473296199648914 -21.684654178635842, -62.47447268365234 -21.683171760523685, -62.47548788044587 -21.681588690402013, -62.47633201725506 -21.679920254577866, -62.476996977723694 -21.678182560266674, -62.47747637957104 -21.67639237896085, -62.47776563522192 -21.674566983506143, -62.47786199485783 -21.672723980508817, -62.477764571518144 -21.670881139735453, -62.477474348062835 -21.669056222188402, -62.47699416599089 -21.667266808542767, -62.47632869628784 -21.665530129616887, -62.47548439265199 -21.663862900517262, -62.47446942761873 -21.662281160051535, -62.47329361226389 -21.660800116941076, -62.47196830032098 -21.659434004288084, -62.470506277688465 -21.658195943662722, -62.46892163843589 -21.657097820074533, -62.46722964853523 -21.656150168980712, -62.46544659865037 -21.65536207636309, -62.46358964740951 -21.654741092777055, -62.46167665666355 -21.654293162140522, -62.459726020297325 -21.65402256589131, -62.45775648821082 -21.653931882996723, -62.45578698712159 -21.65402196615332, -62.453836439862286 -21.654291934365993, -62.45192358485273 -21.654739181947892, -62.45006679741955 -21.65535940383467, -62.448283914616766 -21.65614663696081, -62.44659206516483 -21.657093317302984, -62.44500750608113 -21.65819035205568, -62.4435454675138 -21.659427206269605, -62.44222000721975 -21.66079200315435, -62.44104387604432 -21.66227163712327, -62.440028395664505 -21.663851898543324, -62.43918334975286 -21.665517609044294, -62.438516889601964 -21.667252766143392, -62.43803545512456 -21.6690406958518, -62.437743712008654 -21.670864211851384, -62.437644505664615 -21.67270577976223, -62.43773883245048 -21.674547684967276, -62.43802582850502 -21.676372202417546, -62.438502776356366 -21.67816176681339, -62.439165129308186 -21.679899141543228, -62.44000655343716 -21.681567584761208, -62.441018986865664 -21.68315101100187, -62.44219271580598 -21.684634146760448, -62.44351646670438 -21.68600267851551, -62.44497751365249 -21.68724339173219, -62.446561800075834 -21.68834429946336, -62.4482540735615 -21.689294759258804, -62.45003803254773 -21.690085577199856, -62.45189648347005 -21.690709097998475, -62.45381150684578 -21.691159280233034, -62.45576463067717 -21.69143175593806, -62.457737009472446 -21.691523873919746, -62.45970960711653 -21.691434726331938, -62.46166338177786 -21.691165158216315, -62.4635794710093 -21.690717759884194, -62.465439375194784 -21.6900968421932, -62.467225137505224 -21.68930839494821))",1.5066829267889261,96.42770731449127,2026-02-01
1,Salvador Mazza - Yacuiba,Argentina - Bolivia,-22.053028,-63.683833,"POLYGON ((-63.694345403558486 -22.069794248841248, -63.696058391822476 -22.06875254475904, -63.697653461632186 -22.067559247459346, -63.69911522225568 -22.06622588131379, -63.70042957490378 -22.064765324189093, -63.70158384932527 -22.06319168200901, -63.70256692630061 -22.061520151368953, -63.70336934483717 -22.059766871585392, -63.70398339302868 -22.057948767666712, -63.704403181714476 -22.05608338577922, -63.7046247002524 -22.05418872285215, -63.704645853905134 -22.05228305201693, -63.704466482527465 -22.050384745609602, -63.70408836043185 -22.048512097480078, -63.703515177498396 -22.046683146348247, -63.70275250178044 -22.044915501925754, -63.701807724037096 -22.043226175484143, -63.70068998479834 -22.041631416494333, -63.699410084731966 -22.040146556892868, -63.697980379237464 -22.038785864445355, -63.69641465833494 -22.037562406580008, -63.69472801304889 -22.036487925955072, -63.69293668960433 -22.035572728903915, -63.691057932857426 -22.034825587773366, -63.68910982047223 -22.034253658034697, -63.68711108943101 -22.033862410904238, -63.68508095652478 -22.03365558206404, -63.68303893451763 -22.03363513692212, -63.68100464570721 -22.033801252699668, -63.67899763462058 -22.034152317478863, -63.67703718158516 -22.0346849461916, -63.6751421189015 -22.035394013377214, -63.67333065131701 -22.036272702388057, -63.67162018245962 -22.037312570574713, -63.67002714883517 -22.038503629840992, -63.66856686292614 -22.03983444182166, -63.66725336684927 -22.04129222680522, -63.6660992979384 -22.0428629853997, -63.665115767515395 -22.0445316318243, -63.664312253998716 -22.046282137601334, -63.66369651137414 -22.048097684325917, -63.66327449391856 -22.049960824103234, -63.663050297924464 -22.05185364616706, -63.663026121022284 -22.05375794812928, -63.66320223953901 -22.05565541025881, -63.663577004167706 -22.057527771150845, -63.66414685405374 -22.059357003123893, -63.66490634923092 -22.06112548567369, -63.6658482211664 -22.062816175319977, -63.66696344099875 -22.064412770204676, -63.66824130487952 -22.06589986783887, -63.66966953565875 -22.06726311445066, -63.67123439998885 -22.068489344456736, -63.67292083976297 -22.069566708667065, -63.674712616653885 -22.070484789933758, -63.67659246837984 -22.071234705071166, -63.67854227519736 -22.07180919200449, -63.6805432350082 -22.07220268124577, -63.682576045370936 -22.072411350949896, -63.68462109062831 -22.07243316496545, -63.68665863230085 -22.072267893466126, -63.68866900085575 -22.071917115924602, -63.69063278693987 -22.071384206370585, -63.692531030165426 -22.070674301057316, -63.694345403558486 -22.069794248841248))",20.20318566073834,1434.4261819124222,2026-03-01
